id,title,course_level,department_name
ACENG211,Graduate Writing for Scholarly Publication,Graduate/Professional Only (200+),Academic English
AFAM112B,African American Literature 1900-Present,Upper Division (100-199),African American Studies
AFAM112A,Early African American Literature,Upper Division (100-199),African American Studies
ACENG20C,Essentials of Academic Writing,Lower Division (1-99),Academic English
ACENG20A,Academic Writing,Lower Division (1-99),Academic English
ACENG200,Oral English Communication I,Graduate/Professional Only (200+),Academic English
ACENG22B,ESL Reading and Vocabulary,Lower Division (1-99),Academic English
ACENG202,Oral English Communication III,Graduate/Professional Only (200+),Academic English
ACENG20B,Academic Writing,Lower Division (1-99),Academic English
ACENG139W,Advanced Academic Writing Across the Curriculum,Upper Division (100-199),Academic English
ACENG24,ESL International TA Workshop,Lower Division (1-99),Academic English
AFAM128,Topics in Gender/Sexuality,Upper Division (100-199),African American Studies
ACENG201,Oral English Communication II,Graduate/Professional Only (200+),Academic English
AFAM111A,Modern African American Art,Upper Division (100-199),African American Studies
ACENG29,Special Topics in ESL,Lower Division (1-99),Academic English
ACENG212,Thesis/Dissertation Writing for Graduate Students,Graduate/Professional Only (200+),Academic English
ANATOMY206,Tutorial in Anatomy,Graduate/Professional Only (200+),Anatomy and Neurobiology
AFAM145,African Americans and Photography,Upper Division (100-199),African American Studies
AFAM157,Critical Race Theory,Upper Division (100-199),African American Studies
AFAM40C,African American Studies III,Lower Division (1-99),African American Studies
AFAM158,Topics in African American Social Sciences,Upper Division (100-199),African American Studies
ANATOMY200R,Research in Anatomy and Neurobiology for First-Year Students,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANATOMY210A,Systems Neuroscience,Graduate/Professional Only (200+),Anatomy and Neurobiology
AFAM134B,Caribbean History: Emancipation to Independence,Upper Division (100-199),African American Studies
AFAM153,African American Psychology,Upper Division (100-199),African American Studies
AFAM154,African American Social Formations,Upper Division (100-199),African American Studies
AFAM159,Prisons and Public Education,Upper Division (100-199),African American Studies
AFAM163,Seminar in African American Studies,Upper Division (100-199),African American Studies
ANATOMY203A,Human Microscopoic Anatomy,Graduate/Professional Only (200+),Anatomy and Neurobiology
AFAM162W,The Black Protest Tradition,Upper Division (100-199),African American Studies
AFAM198,Directed Group Study,Upper Division (100-199),African American Studies
ACENG20D,Academic Writing,Lower Division (1-99),Academic English
ACENG28,Grammar,Lower Division (1-99),Academic English
AFAM138,Topics in African American History,Upper Division (100-199),African American Studies
ANATOMY206B,Neuroanatomy,Graduate/Professional Only (200+),Anatomy and Neurobiology
AFAM118,Topics in African American Humanities,Upper Division (100-199),African American Studies
AFAM40A,African American Studies I,Lower Division (1-99),African American Studies
ANATOMY200,Research in Anatomy,Graduate/Professional Only (200+),Anatomy and Neurobiology
ANATOMY206C,Tutorial in Microanatomy,Graduate/Professional Only (200+),Anatomy and Neurobiology
ACENG23A,Oral English Communication I,Lower Division (1-99),Academic English
AFAM111B,Contemporary African American Art,Upper Division (100-199),African American Studies
AFAM156,African Societies and Politics,Upper Division (100-199),African American Studies
AFAM199,Independent Study,Upper Division (100-199),African American Studies
ACENG23C,Oral English Communication III,Lower Division (1-99),Academic English
AFAM115,Race and Visual Representation,Upper Division (100-199),African American Studies
AFAM143,Topics in African American Music,Upper Division (100-199),African American Studies
ACENG210,Introduction to Graduate Research Writing,Graduate/Professional Only (200+),Academic English
AFAM137,History of the African Diaspora,Upper Division (100-199),African American Studies
AFAM144,Topics in Expressive Forms,Upper Division (100-199),African American Studies
